,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID,Product_ID
450,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,340.0,241.0,"4,9",759.0,,2023-03-26,Coffee,C,16,C16
451,[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,323.0,600.0,5,16000.0,,2023-03-26,Coffee,C,19,C19
452,SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g  Giảm 8,325.0,26000.0,"4,9",72000.0,,2023-03-26,Coffee,C,13,C13
453,Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,351.0,483.0,"4,9",14000.0,,2023-03-26,Coffee,C,3,C3
454,Combo 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,250.0,19.0,"4,8",68.0,,2023-03-26,Coffee,C,2,C2
455,SPECIAL COMBO Gel rửa mặt cà phê 140ml+Tẩy da chết mặt cà phê 150ml tặng Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,360.0,13.0,5,49.0,,2023-03-26,Coffee,C,10,C10
456,SPECIAL COMBO 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml tặng Nước tẩy trang bí đao Cocoon 140ml,250.0,17.0,"4,9",66.0,,2023-03-26,Coffee,C,9,C9
457,Bigsize - Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 310ml,295.0,36.0,"4,9",134.0,,2023-03-26,Coffee,C,1,C1
458,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195.0,301.0,"4,9",974.0,,2023-03-26,Coffee,C,4,C4
459,[Mã COSCN12 giảm 8%] Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,75.0,83000.0,5,209000.0,,2023-03-26,Coffee,C,21,C21
460,TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml,325.0,27000.0,"4,9",93000.0,,2023-03-26,Coffee,C,15,C15
461,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,454000.0,5,1239000.0,,2023-03-26,Coffee,C,20,C20
462,[Mã COSCN12 giảm 8%] Tẩy da chết mặt cà phê Đắk Lắk Cocoon cho làn da mềm mại & rạng rỡ 150ml,165.0,241000.0,"4,9",633000.0,,2023-03-26,Coffee,C,22,C22
463,SPECIAL COMBO tẩy da chết cà phê Đắk Lắk Cocoon Tặng tẩy da chết môi cà phê Đắk Lắk 5g,290.0,6000.0,5,149000.0,,2023-03-26,Coffee,C,11,C11
464,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,215.0,44000.0,5,108000.0,,2023-03-26,Coffee,C,17,C17
465,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,340.0,759.0,"4,9",241.0,,2023-03-27,Coffee,C,16,C16
466,[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,323.0,16000.0,5,600.0,,2023-03-27,Coffee,C,19,C19
467,Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,351.0,14000.0,"4,9",483.0,,2023-03-27,Coffee,C,3,C3
468,Combo 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,250.0,69.0,"4,8",19.0,,2023-03-27,Coffee,C,2,C2
469,SPECIAL COMBO 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml tặng Nước tẩy trang bí đao Cocoon 140ml,250.0,68.0,"4,9",17.0,,2023-03-27,Coffee,C,9,C9
470,TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml,325.0,93000.0,"4,9",27000.0,,2023-03-27,Coffee,C,15,C15
471,Bigsize - Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 310ml,295.0,138.0,"4,9",37.0,,2023-03-27,Coffee,C,1,C1
472,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,124000.0,5,455000.0,,2023-03-27,Coffee,C,20,C20
473,SPECIAL COMBO Gel rửa mặt cà phê 140ml+Tẩy da chết mặt cà phê 150ml tặng Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,360.0,54.0,5,15.0,,2023-03-27,Coffee,C,10,C10
474,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195.0,976.0,"4,9",302.0,,2023-03-27,Coffee,C,4,C4
475,[Mã COSCN12 giảm 8%] Tẩy da chết mặt cà phê Đắk Lắk Cocoon cho làn da mềm mại & rạng rỡ 150ml,165.0,634000.0,"4,9",241000.0,,2023-03-27,Coffee,C,22,C22
476,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,215.0,108000.0,5,44000.0,,2023-03-27,Coffee,C,17,C17
477,[Mã COSCN12 giảm 8%] Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 140ml,145.0,17000.0,"4,9",671.0,,2023-02-27,Rose,R,18,R18
478,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,75000.0,5,31000.0,,2023-02-27,Rose,R,16,R16
479,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,2000.0,5,762.0,,2023-02-27,Rose,R,7,R7
480,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,66000.0,"4,9",24000.0,,2023-02-27,Rose,R,9,R9
481,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,85000.0,"4,9",31000.0,,2023-02-27,Rose,R,8,R8
482,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-02-27,Rose,R,15,R15
483,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,159000.0,5,65000.0,,2023-02-27,Rose,R,19,R19
484,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,265.0,38000.0,5,14000.0,,2023-02-27,Rose,R,20,R20
485,[Mã COSCN12 giảm 8%] Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 140ml,145.0,17000.0,"4,9",672.0,,2023-02-28,Rose,R,18,R18
486,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,180.0,54000.0,5,19000.0,,2023-02-28,Rose,R,14,R14
487,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,75000.0,5,31000.0,,2023-02-28,Rose,R,16,R16
488,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,2000.0,5,762.0,,2023-02-28,Rose,R,7,R7
