,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
1094,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,153.0,56000.0,"4,9",19000.0,15.0,2023-03-15,Rose,R,14
1095,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",803.25,202.0,"4,8",73.0,15.0,2023-03-15,Rose,R,13
1096,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,327.25,67000.0,"4,9",25000.0,15.0,2023-03-15,Rose,R,9
1097,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,165.75,52000.0,"4,9",19000.0,15.0,2023-03-15,Rose,R,15
1098,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,250.75,87000.0,"4,9",32000.0,15.0,2023-03-15,Rose,R,8
1099,[Mã COSCN12 giảm 8%] Combo cấp ẩm và phục hồi từ hoa hồng Cocoon,528.7,698.0,5,287.0,15.0,2023-03-15,Rose,R,12
1100,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,165.75,128000.0,5,47000.0,15.0,2023-03-15,Rose,R,17
1101,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,165.75,161000.0,5,66000.0,15.0,2023-03-15,Rose,R,19
1102,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,225.25,39000.0,"4,9",14000.0,15.0,2023-03-15,Rose,R,20
1169,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,293.25,21000.0,5,776.0,15.0,2023-03-16,Rose,R,7
1170,"SPECIAL COMBO làm sạch, cấp ẩm dịu nhẹ từ hoa hồng Cocoon - Tặng nước tẩy trang hoa hồng Cocoon 140ml",390.0,511.0,"4,9",211.0,,2023-03-16,Rose,R,5
1171,[Mã COSCN12 giảm 8%] Combo Nước hoa hồng 140ml + Mặt nạ hoa hồng 30ml Cocoon,274.55,250.0,5,90.0,15.0,2023-03-16,Rose,R,10
1172,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",803.25,203.0,"4,9",74.0,15.0,2023-03-16,Rose,R,13
